"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"128","Determined @718cp is already my favorite cast member on #MadeInStatenIsland 😍😛",FALSE,3,NA,2019-01-16 22:54:39,FALSE,NA,"1085671705123655683",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Angelica_10598",2,FALSE,FALSE,NA,NA
"129","lol😂 And I love the way @718cp says the word father.. #MadeInStatenIsland",FALSE,4,NA,2019-01-16 22:47:25,FALSE,NA,"1085669883407466496",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tjhaneckow",1,FALSE,FALSE,NA,NA
"130","These #MadeInStatenIsland kids are actual trash. I lived on this island for my entire childhood and I hate the isla… https://t.co/Do3lfcr5ym",FALSE,5,NA,2019-01-16 22:42:11,TRUE,NA,"1085668564718239744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nicky720",0,FALSE,FALSE,NA,NA
"131","😏 I like @718cp on #MadeInStatenIsland and he's cute AF!!",FALSE,0,NA,2019-01-16 22:40:30,FALSE,NA,"1085668144193159169",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tjhaneckow",0,FALSE,FALSE,NA,NA
"132","Now i make sure to lock my doors as soon as i get across the Verrazano. #MadeinStatenIsland",FALSE,4,NA,2019-01-16 22:04:30,FALSE,NA,"1085659081275129856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AirKitty24",1,FALSE,FALSE,NA,NA
"133","#MadeInStatenIsland @ Staten Island, New York https://t.co/ZsOpoaFqlU",FALSE,0,NA,2019-01-16 21:11:30,FALSE,NA,"1085645744382435328",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","J_Haleyyy",0,FALSE,FALSE,"-74.0889","40.6303"
"134","#MadeInStatenIsland  YAWN.",FALSE,0,NA,2019-01-16 20:55:13,FALSE,NA,"1085641646203580416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BabyZingbot4000",0,FALSE,FALSE,NA,NA
"135","This #madeinstatenisland show is
making me cringe. Is this how people felt when our generation was hooked on Jersey Shore? 🤦🏻‍♀️😂",FALSE,0,NA,2019-01-16 20:22:23,FALSE,NA,"1085633382917251073",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","AudaciousAsh__",0,FALSE,FALSE,NA,NA
"136","@MTV coming out with some bangggerz #MadeInStatenIsland #LohanBeachClub",FALSE,0,"MTV",2019-01-16 19:37:42,FALSE,NA,"1085622138835529728","2367911","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_cailee21",0,FALSE,FALSE,NA,NA
"137","Congratulations to @MTV for exposing the white trash and doomed youth that lives on Staten Island 🖕🏻#MadeInStatenIsland",FALSE,0,NA,2019-01-16 19:31:37,FALSE,NA,"1085620607214063621",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vprocopio817",0,FALSE,FALSE,NA,NA
