"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"64","37 years ago today I made my entrance into this world at St.Vincents Medical Center in Staten Island, NewYork! I ar… https://t.co/MJq4ab4ycG",FALSE,1,NA,2019-01-21 19:03:11,TRUE,NA,"1087425393525751809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Cesareallen",0,FALSE,FALSE,NA,NA
"65","Ooool hype to see the new episode of Made in Staten Island tonight, 97.999% chance it’s bc of @718cp  🥰😋",FALSE,1,NA,2019-01-21 18:40:22,FALSE,NA,"1087419650424692736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Chelllssea",1,FALSE,FALSE,NA,NA
"66","New Made in Staten Island tonight .",FALSE,5,NA,2019-01-21 17:09:04,FALSE,NA,"1087396674287398912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lucchino_",0,FALSE,FALSE,NA,NA
"67","Karen Gravano And Daughter Karina Seabrook Aren't Bothered By 'Made In Staten Island' Backlash! https://t.co/bV3QVm6p1V #MobWives",FALSE,1,NA,2019-01-21 16:10:31,FALSE,NA,"1087381940007825408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AllAboutTRH",0,FALSE,FALSE,NA,NA
"68","Cannot fathom anyone seriously watching that new Made in Staten Island show... like I’m sorry WHAT",FALSE,1,NA,2019-01-21 14:20:41,FALSE,NA,"1087354300416880641",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mandyhaun",0,FALSE,FALSE,NA,NA
"69","MADE in Staten island.. There's a truck , hieay 12.. Wait for exit",FALSE,0,NA,2019-01-21 13:20:27,FALSE,NA,"1087339140704817152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tipsy5millTrash",0,FALSE,FALSE,NA,NA
"70","Breaking the Code https://t.co/bbmgOvzuoi",FALSE,0,NA,2019-01-21 13:16:16,FALSE,NA,"1087338085950533632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Soriano310ms",0,FALSE,FALSE,NA,NA
"71","I like the “made in Staten Island” show. 
@ me",FALSE,2,NA,2019-01-21 09:06:48,FALSE,NA,"1087275307701321728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Antdee5",0,FALSE,FALSE,NA,NA
"72","If Made in Staten Island ain’t the corniest show on television idk what is",FALSE,0,NA,2019-01-21 07:23:52,FALSE,NA,"1087249403482726401",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JakeButler18",0,FALSE,FALSE,NA,NA
"73","CP from made in staten island is the new love of my life",FALSE,0,NA,2019-01-21 04:28:13,FALSE,NA,"1087205200472014848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","madysonrussell4",0,FALSE,FALSE,NA,NA
"74","@RedHeadShawty5 Although I did lol at the Made In Staten Island joke :)",FALSE,0,"RedHeadShawty5",2019-01-21 03:53:21,FALSE,"1087196273025773570","1087196424083783680","87971686","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","walt4ithamilton",0,FALSE,FALSE,NA,NA
"75","So upset 😢 they only aired one episode of made in Staten island. I thought the show was great",FALSE,0,NA,2019-01-21 03:06:21,FALSE,NA,"1087184594946924544",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","PiperChapman127",0,FALSE,FALSE,NA,NA
"76","MTV: Cancel MTV's Made in Staten Island or remove the borough's name from the title - Sign the Petition! https://t.co/nz1NRNnhAi via @Change",FALSE,0,NA,2019-01-21 02:19:18,FALSE,NA,"1087172755697614851",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gaabrielllaa",0,FALSE,FALSE,NA,NA
"77","Watching Made In Staten Island. It’s pretty good so far.",FALSE,0,NA,2019-01-21 01:36:14,FALSE,NA,"1087161920048771072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GeneralPatton90",0,FALSE,FALSE,NA,NA
"78","Made in Staten Island is gonna be a good show😬",FALSE,1,NA,2019-01-21 01:17:19,FALSE,NA,"1087157157542481921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TiffaniCramer",1,FALSE,FALSE,NA,NA
"79","Watching the Frye documentary made me realize..... my friends and I threw the best party on Staten Island in years !!!",FALSE,0,NA,2019-01-21 00:44:19,FALSE,NA,"1087148851205672961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YoungTaccc",0,FALSE,FALSE,NA,NA
"80","Please let this hapoen 

MTV: Cancel MTV's Made in Staten Island or remove the borough's name from the title - Sign… https://t.co/HCDKZ9n8JO",FALSE,0,NA,2019-01-20 23:00:50,TRUE,NA,"1087122811406172160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EricLegends",0,FALSE,FALSE,NA,NA
"81","@Pinky81949548 Did you watch made in Staten island? I know I changed the subject but this fking tablet is still a mystery to me!",FALSE,1,"Pinky81949548",2019-01-20 20:43:51,FALSE,"1086700458004094976","1087088337033273349","853750062899494916","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","48Bev",0,FALSE,FALSE,NA,NA
"82","Made In Staten Island is easily the most cringeworthy show on television. #yikes",FALSE,1,NA,2019-01-20 20:26:17,FALSE,NA,"1087083915184099334",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__bcella",0,FALSE,FALSE,NA,NA
